No,TOVAR NOMI,KG/LT/GR RAZMER,SONI,KELISH NARXI,SOTISH NARXI,FOIZI,SOTILGAN TOVAR SONI,SOTILGAN NARXI,JAMI SOTILGAN TOVAR SUMMASI,SOTILGANGA NISBATAN
51,ANTIFRIZ SIBIRIA QIZIL,5,3,"50,000 UZS","140,000 UZS",280%,0,"1,311 UZS",0 UZS,3%
52,ANTIFRIZ SIBIRIA KO'K ,5,1,"50,000 UZS","130,000 UZS",260%,0,"1,311 UZS",0 UZS,3%
53,ANTIFRIZ FELIX KO'K,5,3,"50,000 UZS","130,000 UZS",260%,0,"1,311 UZS",0 UZS,3%
54,ANTIFRIZ FELIX QIZIL,5,6,"50,000 UZS","145,000 UZS",290%,0,"1,311 UZS",0 UZS,3%
55,ANTIFRIZ FELIX YASHIL,5,6,"50,000 UZS","130,000 UZS",260%,0,"1,311 UZS",0 UZS,3%
56,ANTIFRIZ FORTE QIZIL,5,2,"50,000 UZS","100,000 UZS",200%,0,"1,311 UZS",0 UZS,3%
57,ANTIFRIZ FORTE KO'K,5,1,"50,000 UZS","100,000 UZS",200%,0,"1,311 UZS",0 UZS,3%
58,DISKA R13 KOMP,R13,1,"50,000 UZS","1,350,000 UZS",2700%,0,"1,311 UZS",0 UZS,3%
59,DISKA R14 KOMP,R14,1,"50,000 UZS","1,350,000 UZS",2700%,0,"1,311 UZS",0 UZS,3%
60,DISKA R15 KOMP,R15,1,"50,000 UZS","1,430,000 UZS",2860%,0,"1,311 UZS",0 UZS,3%
61,MOY SINTEC 20/50,20,1,"50,000 UZS","750,000 UZS",1500%,0,"1,311 UZS",0 UZS,3%
62,DAMAS BAR ROMBIK,,1,"50,000 UZS","300,000 UZS",600%,0,"1,311 UZS",0 UZS,3%
63,DAMAS BAR GERB ,,1,"50,000 UZS","450,000 UZS",900%,0,"1,311 UZS",0 UZS,3%
64,DAMAS BAR KO'JALI KICHIK,,1,"50,000 UZS","170,000 UZS",340%,0,"1,311 UZS",0 UZS,3%
65,DAMAS BAR KO'JALI KOTTA,,1,"50,000 UZS","300,000 UZS",600%,0,"1,311 UZS",0 UZS,3%
66,DAMAS BAR OYNALI KICHIK,,1,"50,000 UZS","250,000 UZS",500%,0,"1,311 UZS",0 UZS,3%
67,DAMAS BAR ODDIY KO'JALI,,1,"50,000 UZS","130,000 UZS",260%,0,"1,311 UZS",0 UZS,3%
68,DAMAS BAR LATTALI,,1,"50,000 UZS","90,000 UZS",180%,0,"1,311 UZS",0 UZS,3%
69,KALONKA POS LATTALI,,4,"50,000 UZS","70,000 UZS",140%,0,"1,311 UZS",0 UZS,3%
70,KALONKA POS PROSTOY,,3,"50,000 UZS","50,000 UZS",100%,0,"1,311 UZS",0 UZS,3%
71,KALONKA PODYUM PARA BN,,3,"50,000 UZS","30,000 UZS",60%,0,"1,311 UZS",0 UZS,3%
72,NEXIA BARPAR,,2,"50,000 UZS","230,000 UZS",460%,0,"1,311 UZS",0 UZS,3%
73,SPARK BAR,,1,"50,000 UZS","130,000 UZS",260%,0,"1,311 UZS",0 UZS,3%
74,COBALT BAR,,1,"50,000 UZS","130,000 UZS",260%,0,"1,311 UZS",0 UZS,3%
75,DAMAS BAR O'RTA,,1,"50,000 UZS","130,000 UZS",260%,0,"1,311 UZS",0 UZS,3%
76,DIZ VODA FORTE,,101,"50,000 UZS","3,000 UZS",6%,0,"1,311 UZS",0 UZS,3%
77,MATIZ OPTIKA,,2,"50,000 UZS","90,000 UZS",180%,0,"1,311 UZS",0 UZS,3%
78,JENTRA OPTIKA,,1,"50,000 UZS","170,000 UZS",340%,0,"1,311 UZS",0 UZS,3%
79,LACETTI OPTIKA,,1,"50,000 UZS","110,000 UZS",220%,0,"1,311 UZS",0 UZS,3%
80,NEXIA 2 OPTIKA,,1,"50,000 UZS","105,000 UZS",210%,0,"1,311 UZS",0 UZS,3%
81,DAMAS OPTIKA,,1,"50,000 UZS","105,000 UZS",210%,0,"1,311 UZS",0 UZS,3%
82,SPARK OPTIKA ,,1,"50,000 UZS","165,000 UZS",330%,0,"1,311 UZS",0 UZS,3%
83,NEXIA 2 OLDI FARA KOMP,,1,"50,000 UZS","635,000 UZS",1270%,0,"1,311 UZS",0 UZS,3%
84,COBALT ORQA FARA KOMP,,1,"50,000 UZS","500,000 UZS",1000%,0,"1,311 UZS",0 UZS,3%
85,LACETTI ORQA FARA KOMP,,1,"50,000 UZS","470,000 UZS",940%,0,"1,311 UZS",0 UZS,3%
86,NEXIA 1 OLDI FARA KOMP,,1,"50,000 UZS","332,000 UZS",664%,0,"1,311 UZS",0 UZS,3%
87,NEXIA 1 ORQA FARA KOMP,,1,"50,000 UZS","345,000 UZS",690%,0,"1,311 UZS",0 UZS,3%
88,LACETTI FARA TUMANKA KOMP,,1,"50,000 UZS","120,000 UZS",240%,0,"1,311 UZS",0 UZS,3%
89,NEXIA 3 ORQA FARA KOMP,,1,"50,000 UZS","565,000 UZS",1130%,0,"1,311 UZS",0 UZS,3%
90,NEXIA 2 ORQA FARA KOMP,,1,"50,000 UZS","345,000 UZS",690%,0,"1,311 UZS",0 UZS,3%
91,MATIZ OLDI FARA PROSTOY KOMP,,1,"50,000 UZS","425,000 UZS",850%,0,"1,311 UZS",0 UZS,3%
92,DAMAS ORQA FARA KOMP,,1,"50,000 UZS","135,000 UZS",270%,0,"1,311 UZS",0 UZS,3%
93,MATIZ PAVAROT FARA KOMP,,2,"50,000 UZS","90,000 UZS",180%,0,"1,311 UZS",0 UZS,3%
94,SPARK 1 TUMANKA ,,1,"50,000 UZS","120,000 UZS",240%,0,"1,311 UZS",0 UZS,3%
95,"SPARK 1,25 TUMANKA ",,1,"50,000 UZS","70,000 UZS",140%,0,"1,311 UZS",0 UZS,3%
96,NEXIA 2 TUMANKA KOMP,,1,"50,000 UZS","90,000 UZS",180%,0,"1,311 UZS",0 UZS,3%
97,DAMAS PAVAROT FARA KOMP,,1,"50,000 UZS","70,000 UZS",140%,0,"1,311 UZS",0 UZS,3%
98,LABO ORQA FARA KOMP,,1,"50,000 UZS","95,000 UZS",190%,0,"1,311 UZS",0 UZS,3%
99,DAMAS BAKAVOY FARA KOMP,,1,"50,000 UZS","280,000 UZS",560%,0,"1,311 UZS",0 UZS,3%
100,MATIZ BAKAVOY OYNA KOMP,,1,"50,000 UZS","395,000 UZS",790%,0,"1,311 UZS",0 UZS,3%
101,LABO BAKAVOY OYNA KOMP,,1,"50,000 UZS","50,000 UZS",100%,0,"1,311 UZS",0 UZS,3%
102,NEXIA 1 FARA OPTIKA SHISHALI KOMP,,1,"50,000 UZS","100,000 UZS",200%,0,"1,311 UZS",0 UZS,3%
103,NEXIA 1 BAKAVOY KOMP,,1,"50,000 UZS","150,000 UZS",300%,0,"1,311 UZS",0 UZS,3%
104,NEXIA BAKAVOY KOMP,,1,"50,000 UZS","180,000 UZS",360%,0,"1,311 UZS",0 UZS,3%
105,LABO OLDI FARA KOMP,,1,"50,000 UZS","170,000 UZS",340%,0,"1,311 UZS",0 UZS,3%
106,BENZIN TORTADIGAN SHLANKA,,3,"50,000 UZS","25,000 UZS",50%,0,"1,311 UZS",0 UZS,3%
107,BENZIN TORTADIGAN SHLANKA KICHKINA,,8,"50,000 UZS","25,000 UZS",50%,0,"1,311 UZS",0 UZS,3%
108,JIGULI 06 PATRUPKA RADIATOR KOMP,,2,"50,000 UZS","73,000 UZS",146%,0,"1,311 UZS",0 UZS,3%
109,JIGULI 07 PATRUPKA RADIATOR KOMP,,1,"50,000 UZS","85,000 UZS",170%,0,"1,311 UZS",0 UZS,3%
110,JIGULI ORQA AMOTIVATOR REZINA,,7,"50,000 UZS","25,000 UZS",50%,0,"1,311 UZS",0 UZS,3%
111,JIGULI STABILIZATOR REZINA,,3,"50,000 UZS","28,000 UZS",56%,0,"1,311 UZS",0 UZS,3%
112,JIGULI RABOCHIY GLAVNIY SLINDR MANJET,,3,"50,000 UZS","28,000 UZS",56%,0,"1,311 UZS",0 UZS,3%
113,JIGULI ORQA STOYKA REZINKA,,2,"50,000 UZS","85,000 UZS",170%,0,"1,311 UZS",0 UZS,3%
114,JIGULI PECHKA SHLANKA ORG,,5,"50,000 UZS","45,000 UZS",90%,0,"1,311 UZS",0 UZS,3%
115,JIGULI ELASTIK MUFTA,,3,"50,000 UZS","95,000 UZS",190%,0,"1,311 UZS",0 UZS,3%
116,JIGULI STUPITSA KRISHKA,,4,"50,000 UZS","18,000 UZS",36%,0,"1,311 UZS",0 UZS,3%
117,JIGULI SUV KRISHKA im,,1,"50,000 UZS","35,000 UZS",70%,0,"1,311 UZS",0 UZS,3%
118,JIGULI SUV KRISHKA EVRO,,3,"50,000 UZS","25,000 UZS",50%,0,"1,311 UZS",0 UZS,3%
119,JIGULI SUV KRISHKA PRASTOY,,13,"50,000 UZS","18,000 UZS",36%,0,"1,311 UZS",0 UZS,3%
120,JIGULIRADIATOR PECHKA ,,1,"50,000 UZS","110,000 UZS",220%,0,"1,311 UZS",0 UZS,3%
121,JIGULI BAKAVOY OYNA,,1,"50,000 UZS","45,000 UZS",90%,0,"1,311 UZS",0 UZS,3%
122,JIGULI KARDAN VAL,,2,"50,000 UZS","95,000 UZS",190%,0,"1,311 UZS",0 UZS,3%
123,JIGULI TERMOSTAT PAKETLI,,3,"50,000 UZS","60,000 UZS",120%,0,"1,311 UZS",0 UZS,3%
124,JIGULI TERMOSTAT FENOX,,1,"50,000 UZS","90,000 UZS",180%,0,"1,311 UZS",0 UZS,3%
125,JIGULI BENZINASOS RECORD,,1,"50,000 UZS","105,000 UZS",210%,0,"1,311 UZS",0 UZS,3%
126,JIGULI 06 ORQA KALOTKA,,1,"50,000 UZS","100,000 UZS",200%,0,"1,311 UZS",0 UZS,3%
127,JIGULI SIPLENIYA VILKA,,4,"50,000 UZS","48,000 UZS",96%,0,"1,311 UZS",0 UZS,3%
128,JIGULI MAYATNIK SAMZAS,,4,"50,000 UZS","95,000 UZS",190%,0,"1,311 UZS",0 UZS,3%
129,JIGULI LADA POMPA ,,1,"50,000 UZS","95,000 UZS",190%,0,"1,311 UZS",0 UZS,3%
130,JIGULI ELASTIK MUFTA FLONES ,,1,"50,000 UZS","90,000 UZS",180%,0,"1,311 UZS",0 UZS,3%
131,JIGULI VAL SHKIF,,2,"50,000 UZS","125,000 UZS",250%,0,"1,311 UZS",0 UZS,3%
132,JIGULI VIJIMNOY LADA,,1,"50,000 UZS","55,000 UZS",110%,0,"1,311 UZS",0 UZS,3%
133,JIGULI DISTIPLINA ,,1,"50,000 UZS","115,000 UZS",230%,0,"1,311 UZS",0 UZS,3%
134,JIGULI KORZINA ,,1,"50,000 UZS","221,000 UZS",442%,0,"1,311 UZS",0 UZS,3%
135,JIGULI KALOTKA OLDI LADA,,3,"50,000 UZS","45,000 UZS",90%,0,"1,311 UZS",0 UZS,3%
136,JIGULI DVORNIK MATOR,,2,"50,000 UZS","165,000 UZS",330%,0,"1,311 UZS",0 UZS,3%
137,JIGULI SALNIY BLOK BALAKOVA,,2,"50,000 UZS","130,000 UZS",260%,0,"1,311 UZS",0 UZS,3%
138,JIGULI KOMUTATOR,,2,"50,000 UZS","90,000 UZS",180%,0,"1,311 UZS",0 UZS,3%
139,JIGULI SHARAVOY TURKMAN,,4,"50,000 UZS","55,000 UZS",110%,0,"1,311 UZS",0 UZS,3%
140,JIGULI SHARAVOY AUTO PARTS,,4,"50,000 UZS","50,000 UZS",100%,0,"1,311 UZS",0 UZS,3%
141,JIGULI RULEVOY TYAGA TURKMAN KOMP,,1,"50,000 UZS","330,000 UZS",660%,0,"1,311 UZS",0 UZS,3%
142,JIGULI RULEVOY TYAGA KEDR KOMP,,2,"50,000 UZS","340,000 UZS",680%,0,"1,311 UZS",0 UZS,3%
143,JIGULI STUPITSA OLDI,,1,"50,000 UZS","120,000 UZS",240%,0,"1,311 UZS",0 UZS,3%
144,JIGULI BABINA SINYEE,,1,"50,000 UZS","110,000 UZS",220%,0,"1,311 UZS",0 UZS,3%
145,JIGULI NAKANESHNIK TURKMAN,,2,"50,000 UZS","95,000 UZS",190%,0,"1,311 UZS",0 UZS,3%
146,JIGULI GLAVNIY TOMROZ SLINDR,,2,"50,000 UZS","165,000 UZS",330%,0,"1,311 UZS",0 UZS,3%
147,JIGULI GLAVNIY SLINDR SEPLENIYA LADA,,2,"50,000 UZS","105,000 UZS",210%,0,"1,311 UZS",0 UZS,3%
148,JIGULI SLINDR SEPLENIYA RABOCHIY,,2,"50,000 UZS","95,000 UZS",190%,0,"1,311 UZS",0 UZS,3%
149,JIGULI POLOS PODCHIVNIK,,3,"50,000 UZS","35,000 UZS",70%,0,"1,311 UZS",0 UZS,3%
150,JIGULI PODCHIVNIK OLDI KRONER,,3,"50,000 UZS","45,000 UZS",90%,0,"1,311 UZS",0 UZS,3%
151,JIGULI PODCHIVNIK OLDI MSTART,,1,"50,000 UZS","45,000 UZS",90%,0,"1,311 UZS",0 UZS,3%
152,JIGULI PODCHIVNIK OLDI PKC,,2,"50,000 UZS","55,000 UZS",110%,0,"1,311 UZS",0 UZS,3%
153,JIGULI PODCHIVNIK OLDI DISCOVER KOMP,,3,"50,000 UZS","50,000 UZS",100%,0,"1,311 UZS",0 UZS,3%
154,JIGULI PARAZIT LADA,,2,"50,000 UZS","95,000 UZS",190%,0,"1,311 UZS",0 UZS,3%
155,JIGULI PRUJINA PADUSHKA PANTUS,,2,"50,000 UZS","65,000 UZS",130%,0,"1,311 UZS",0 UZS,3%
156,JIGULI KRISTAVINA ELECTROMASH,,11,"50,000 UZS","43,000 UZS",86%,0,"1,311 UZS",0 UZS,3%
157,JIGULI STATR TURKMAN,,1,"50,000 UZS","470,000 UZS",940%,0,"1,311 UZS",0 UZS,3%
158,JIGULI USKORITEL HIMAUTO,,7,"50,000 UZS","28,000 UZS",56%,0,"1,311 UZS",0 UZS,3%
159,JIGULI BASHMAK HIMAUTO,,9,"50,000 UZS","38,000 UZS",76%,0,"1,311 UZS",0 UZS,3%
160,JIGULI VKLADISH 0.50,,1,"50,000 UZS","150,000 UZS",300%,0,"1,311 UZS",0 UZS,3%
161,JIGULI VKLADISH 0.75,,1,"50,000 UZS","150,000 UZS",300%,0,"1,311 UZS",0 UZS,3%
162,JIGULI VKLADISH 1.00,,1,"50,000 UZS","150,000 UZS",300%,0,"1,311 UZS",0 UZS,3%
163,"JIGULI VKLADISH 1,50",,1,"50,000 UZS","150,000 UZS",300%,0,"1,311 UZS",0 UZS,3%
164,JIGULI KOLTSA LADA,,2,"50,000 UZS","150,000 UZS",300%,0,"1,311 UZS",0 UZS,3%
165,JIGULI SEP,,1,"50,000 UZS","143,000 UZS",286%,0,"1,311 UZS",0 UZS,3%
166,JIGULI PAVAROTNIK RELE,,5,"50,000 UZS","28,000 UZS",56%,0,"1,311 UZS",0 UZS,3%
167,JIGULI KAROBKA PADUSHKA ,,6,"50,000 UZS","55,000 UZS",110%,0,"1,311 UZS",0 UZS,3%
168,JIGULI ELEMENT RECARDO,,2,"50,000 UZS","28,000 UZS",56%,0,"1,311 UZS",0 UZS,3%
169,JIGULI ELEMENT CTAM,,4,"50,000 UZS","18,000 UZS",36%,0,"1,311 UZS",0 UZS,3%
170,JIGULI SALNIK ,,30,"50,000 UZS","10,000 UZS",20%,0,"1,311 UZS",0 UZS,3%
171,JIGULI AMOTIZATOR REZINA,,40,"50,000 UZS","2,000 UZS",4%,0,"1,311 UZS",0 UZS,3%
172,JIGULI SALNIY RABOCHIY ,,9,,"18,000 UZS",#DIV/0!,0,"1,311 UZS",0 UZS,#DIV/0!
173,JIGULI KRAYNIK PECHKA,,8,,"55,000 UZS",#DIV/0!,0,"1,311 UZS",0 UZS,#DIV/0!
174,JIGULI GLUSHITEL HOMUD REZINA,,8,,"28,000 UZS",#DIV/0!,0,"1,311 UZS",0 UZS,#DIV/0!
175,JIGULI TRAMBLYOR KRISHKA,,3,"5,000 UZS","45,000 UZS",900%,0,"1,311 UZS",0 UZS,26%
176,JIGULI POMPA KRISHKA ,,1,,"50,000 UZS",#DIV/0!,0,"1,311 UZS",0 UZS,#DIV/0!
177,JIGULI OLDI LABAVOY HOMUD,,2,"30,000 UZS","35,000 UZS",117%,0,"1,311 UZS",0 UZS,4%
178,JIGULI TROSS OYNA KOTARADGAN,,6,,"55,000 UZS",#DIV/0!,0,"1,311 UZS",0 UZS,#DIV/0!
179,JIGULI ZAMOK ZAJIGANIYA SNYEC,,1,,"89,000 UZS",#DIV/0!,0,"1,311 UZS",0 UZS,#DIV/0!
180,JIGULI ZAMOK ZAJIGANIYA RECARDO,,1,,"58,000 UZS",#DIV/0!,0,"1,311 UZS",0 UZS,#DIV/0!
181,JIGULI KUZOV ZAMOK LOGO KOMP,,2,,"48,000 UZS",#DIV/0!,0,"1,311 UZS",0 UZS,#DIV/0!
182,JIGULI PRTIRKA PASTA,,2,,"40,000 UZS",#DIV/0!,0,"1,311 UZS",0 UZS,#DIV/0!
183,EMULYATOR GAZGA,,4,,"48,000 UZS",#DIV/0!,0,"1,311 UZS",0 UZS,#DIV/0!
184,MAGNIT GAZDIKI,,4,,"65,000 UZS",#DIV/0!,0,"1,311 UZS",0 UZS,#DIV/0!
185,MAGNIT O'QI GAZDIKI,,4,,"48,000 UZS",#DIV/0!,0,"1,311 UZS",0 UZS,#DIV/0!
186,KAROBKA REGILIROVKA,,2,,"12,000 UZS",#DIV/0!,0,"1,311 UZS",0 UZS,#DIV/0!
187,FILTR PROPAN KORPUSI BN,,1,,"25,000 UZS",#DIV/0!,0,"1,311 UZS",0 UZS,#DIV/0!
188,FILTR PROPAN ,,2,,"10,000 UZS",#DIV/0!,0,"1,311 UZS",0 UZS,#DIV/0!
189,BENZIN KLAPON,,3,,"65,000 UZS",#DIV/0!,0,"1,311 UZS",0 UZS,#DIV/0!
190,GAZ ZAPRAVKA KRAYNIK,,9,,"95,000 UZS",#DIV/0!,0,"1,311 UZS",0 UZS,#DIV/0!
191,GAZ BALON KRAYNIK,,2,,"125,000 UZS",#DIV/0!,0,"1,311 UZS",0 UZS,#DIV/0!
192,VINTEL ,,2,,"28,000 UZS",#DIV/0!,0,"1,311 UZS",0 UZS,#DIV/0!
193,GAZ KRANIK TEPASI,,1,,"33,000 UZS",#DIV/0!,0,"1,311 UZS",0 UZS,#DIV/0!
194,GAZ KRANIK RUCHKASI,,9,,"7,000 UZS",#DIV/0!,0,"1,311 UZS",0 UZS,#DIV/0!
195,GAZ BLOKI ,,1,,"75,000 UZS",#DIV/0!,0,"1,311 UZS",0 UZS,#DIV/0!
196,GAZ TRAYNIK,,4,,"15,000 UZS",#DIV/0!,0,"1,311 UZS",0 UZS,#DIV/0!
197,GAZ TRAYNIK KOTTASI,,8,,"12,000 UZS",#DIV/0!,0,"1,311 UZS",0 UZS,#DIV/0!
198,GAZ MAGNIT 4 POKALENA,,5,,"65,000 UZS",#DIV/0!,0,"1,311 UZS",0 UZS,#DIV/0!
199,GAZ VINTEL ICHKI,,4,,"28,000 UZS",#DIV/0!,0,"1,311 UZS",0 UZS,#DIV/0!
200,GAZ VINTEL  ICHKI KICHIK,,2,,"12,000 UZS",#DIV/0!,0,"1,311 UZS",0 UZS,#DIV/0!
201,GAZ PATRUPKA PLASMAS,,1,,"10,000 UZS",#DIV/0!,0,"1,311 UZS",0 UZS,#DIV/0!
202,GAZ TANKA,,2,,"28,000 UZS",#DIV/0!,0,"1,311 UZS",0 UZS,#DIV/0!
203,M.T.D GAZ ZASLONKA SMISITEL,,2,,"32,000 UZS",#DIV/0!,0,"1,311 UZS",0 UZS,#DIV/0!
204,DONS 1.6 ZASLONKA SMISITEL ,,1,,"45,000 UZS",#DIV/0!,0,"1,311 UZS",0 UZS,#DIV/0!
205,JIGULI ELEKTRO LEGIROVKA BLOK,,5,,"35,000 UZS",#DIV/0!,0,"1,311 UZS",0 UZS,#DIV/0!
206,JIGULI REMEN TADEM ROSSIYA,,11,,"38,000 UZS",#DIV/0!,0,"1,311 UZS",0 UZS,#DIV/0!
207,JIGULI REMEN TISHLI TURKMAN ,,23,,"25,000 UZS",#DIV/0!,0,"1,311 UZS",0 UZS,#DIV/0!
208,JIGULI REMEN 944 XITOY,,26,,"18,000 UZS",#DIV/0!,0,"1,311 UZS",0 UZS,#DIV/0!
209,JIGULI REMEN 925 XITOY,,28,,"20,000 UZS",#DIV/0!,0,"1,311 UZS",0 UZS,#DIV/0!
210,JIGULI LOPUS 4 TALI,,9,,"15,000 UZS",#DIV/0!,0,"1,311 UZS",0 UZS,#DIV/0!
211,JIGULI LOPUS 6 TALI,,10,,"20,000 UZS",#DIV/0!,0,"1,311 UZS",0 UZS,#DIV/0!
212,JIGULI LOPUS 8 TALI,,14,,"25,000 UZS",#DIV/0!,0,"1,311 UZS",0 UZS,#DIV/0!
213,JIGULI JIDKOS SHLANKA,,19,,"30,000 UZS",#DIV/0!,0,"1,311 UZS",0 UZS,#DIV/0!
214,JIGULI BACHOK SHLANKA ,,4,,"22,000 UZS",#DIV/0!,0,"1,311 UZS",0 UZS,#DIV/0!
215,JIGULI XOVO SUV SHLANKA,,6,,"30,000 UZS",#DIV/0!,0,"1,311 UZS",0 UZS,#DIV/0!
